ID,Player,Pos,Goals2019,Shots2019,Sh2019,Goals2020,Shots2020,Sh2020,id
8479318,Auston Matthews,C,31,199,0.155778894,28,159,0.176100629,1
8478402,Connor McDavid,C,21,143,0.146853147,19,130,0.146153846,2
8478420,Mikko Rantanen,R,9,69,0.130434783,18,107,0.168224299,3
8478493,Joel Eriksson Ek,C,7,92,0.076086957,17,108,0.157407407,4
8478483,Mitchell Marner,R,7,97,0.072164948,17,103,0.165048544,5
8477944,Jakub Vrana,L,22,152,0.144736842,17,76,0.223684211,6
8480797,Joel Farabee,L,7,67,0.104477612,16,93,0.172043011,7
8473419,Brad Marchand,L,21,111,0.189189189,16,88,0.181818182,8
8478398,Kyle Connor,L,21,165,0.127272727,16,97,0.164948454,9
8479337,Alex DeBrincat,L,7,147,0.047619048,16,102,0.156862745,10
8476981,Josh Anderson,R,1,51,0.019607843,15,100,0.15,11
8477493,Aleksander Barkov,C,13,111,0.117117117,15,115,0.130434783,12
8478233,Andrew Mangiapane,L,15,98,0.153061224,15,77,0.194805195,13
8470604,Jeff Carter,C,13,142,0.091549296,15,122,0.12295082,14
8478445,Mathew Barzal,C,13,119,0.109243697,15,107,0.140186916,15
8474586,Jordan Eberle,R,12,103,0.116504854,14,104,0.134615385,16
8477416,Oliver Bjorkstrand,R,18,120,0.15,14,104,0.134615385,17
8471214,Alex Ovechkin,L,28,189,0.148148148,14,113,0.123893805,18
8475913,Mark Stone,R,13,127,0.102362205,14,66,0.212121212,19
8477956,David Pastrnak,R,25,180,0.138888889,14,129,0.108527132,20
8480031,Max Comtois,L,3,23,0.130434783,14,79,0.17721519,21
8478010,Brayden Point,C,15,93,0.161290323,14,83,0.168674699,22
8479385,Jordan Kyrou,C,5,38,0.131578947,14,87,0.16091954,23
8476460,Mark Scheifele,C,12,87,0.137931034,13,78,0.166666667,24
8477402,Pavel Buchnevich,R,12,117,0.102564103,13,92,0.141304348,25
8476456,Jonathan Huberdeau,L,15,112,0.133928571,13,70,0.185714286,26
8478366,Frank Vatrano,C,9,125,0.072,13,134,0.097014925,27
8477444,Andre Burakovsky,L,15,73,0.205479452,13,75,0.173333333,28
8475799,Nino Niederreiter,R,6,90,0.066666667,13,107,0.121495327,29
8476539,Jonathan Marchessault,C,14,168,0.083333333,13,117,0.111111111,30
8474053,Logan Couture,C,11,65,0.169230769,13,70,0.185714286,31
8477409,Carter Verhaeghe,C,7,49,0.142857143,13,90,0.144444444,32
8477940,Nikolaj Ehlers,L,18,161,0.111801242,13,104,0.125,33
8474157,Max Pacioretty,L,20,221,0.090497738,13,115,0.113043478,34
8477015,Connor Brown,R,13,135,0.096296296,13,88,0.147727273,35
8476438,Brandon Saad,L,15,111,0.135135135,13,63,0.206349206,36
8477934,Leon Draisaitl,C,23,135,0.17037037,13,78,0.166666667,37
8475169,Evander Kane,L,9,154,0.058441558,12,131,0.091603053,38
8477404,Jake Guentzel,L,13,94,0.138297872,12,91,0.131868132,39
8476461,Sean Couturier,C,15,117,0.128205128,12,89,0.134831461,40
8477949,Alex Tuch,R,5,83,0.060240964,12,114,0.105263158,41
8473548,Phil Kessel,R,5,110,0.045454545,12,80,0.15,42
8470638,Patrice Bergeron,C,13,115,0.113043478,12,114,0.105263158,43
8477942,Kevin Fiala,L,13,109,0.119266055,12,94,0.127659574,44
8470794,Joe Pavelski,C,5,86,0.058139535,12,86,0.139534884,45
8477839,Conor Sheary,L,9,91,0.098901099,12,79,0.151898734,46
8478099,Kevin Labanc,R,11,129,0.085271318,12,102,0.117647059,47
8475848,Brendan Gallagher,R,19,199,0.095477387,11,92,0.119565217,48
8478427,Sebastian Aho,C,21,120,0.175,11,87,0.126436782,49
8474149,Evgenii Dadonov,R,10,119,0.084033613,11,67,0.164179104,50
8473512,Claude Giroux,C,11,130,0.084615385,11,79,0.139240506,51
8477496,Elias Lindholm,C,17,103,0.165048544,11,83,0.13253012,52
8478472,Mathieu Joseph,R,4,32,0.125,11,53,0.20754717,53
8478444,Brock Boeser,R,10,100,0.1,11,80,0.1375,54
8477939,William Nylander,R,18,150,0.12,11,96,0.114583333,55
8476881,Tomas Hertl,C,10,83,0.120481928,11,71,0.154929577,56
8471675,Sidney Crosby,C,9,78,0.115384615,11,107,0.102803738,57
8474141,Patrick Kane,R,19,182,0.104395604,11,123,0.089430894,58
8476346,Johnny Gaudreau,L,11,146,0.075342466,11,67,0.164179104,59
8476905,Chandler Stephenson,C,7,61,0.114754098,11,57,0.192982456,60
8477425,Miles Wood,L,9,129,0.069767442,11,110,0.1,61
8476826,Yanni Gourde,C,6,97,0.06185567,11,87,0.126436782,62
8477330,Dominik Kubalik,L,24,120,0.2,11,111,0.099099099,63
8480208,Drake Batherson,R,2,24,0.083333333,11,91,0.120879121,64
8475166,John Tavares,C,13,145,0.089655172,11,114,0.096491228,65
8475820,Joonas Donskoi,R,10,85,0.117647059,11,59,0.186440678,66
8475810,Bryan Rust,R,16,105,0.152380952,11,108,0.101851852,67
8473563,Nicklas Backstrom,C,5,83,0.060240964,10,61,0.163934426,68
8475158,Ryan O'Reilly,C,7,75,0.093333333,10,84,0.119047619,69
8476459,Mika Zibanejad,C,19,123,0.154471545,10,80,0.125,70
8478414,Timo Meier,R,17,162,0.104938272,10,121,0.082644628,71
8480801,Brady Tkachuk,L,17,207,0.082125604,10,155,0.064516129,72
8477500,Bo Horvat,C,6,114,0.052631579,10,91,0.10989011,73
8481559,Jack Hughes,C,2,84,0.023809524,10,110,0.090909091,74
8474641,Adam Henrique,C,19,121,0.157024793,10,58,0.172413793,75
8479343,Clayton Keller,R,14,127,0.11023622,10,97,0.103092784,76
8474715,Cam Atkinson,R,6,106,0.056603774,10,110,0.090909091,77
8475754,Brock Nelson,C,16,118,0.13559322,10,83,0.120481928,78
8478891,Mason Appleton,C,4,53,0.075471698,10,79,0.126582278,79
8478463,Anthony Beauvillier,L,11,101,0.108910891,10,86,0.11627907,80
8474102,David Perron,L,11,97,0.113402062,10,88,0.113636364,81
8477941,Nick Ritchie,L,7,67,0.104477612,10,89,0.112359551,82
8476399,Blake Coleman,C,17,168,0.101190476,10,97,0.103092784,83
8479314,Matthew Tkachuk,L,12,131,0.091603053,10,96,0.104166667,84
8476448,William Karlsson,C,11,100,0.11,10,77,0.12987013,85
8475220,Marcus Foligno,L,11,80,0.1375,10,38,0.263157895,86
8479316,Luke Kunin,C,12,105,0.114285714,10,69,0.144927536,87
8476278,Colin Blackwell,C,3,31,0.096774194,9,49,0.183673469,88
8478449,Roope Hintz,L,12,91,0.131868132,9,61,0.147540984,89
8476428,Rocco Grimaldi,R,10,116,0.086206897,9,55,0.163636364,90
